Результат расчета с распределением uniform
X:0.000 Y:0.000 Z:0.000  
X:0.000 Y:0.000 Z:0.000  
X:0.000 Y:0.000 Z:0.000  
X:0.000 Y:-0.000 Z:-0.000  
X:-0.000 Y:-0.000 Z:-0.000  
X:-0.000 Y:-0.000 Z:-0.000  
X:-0.000 Y:-0.000 Z:-0.000  
X:-0.000 Y:-0.000 Z:-0.000  
X:-0.000 Y:-0.000 Z:-0.000  
X:-0.000 Y:49.922 Z:50.106  
X:10.350 Y:10.449 Z:9.696  
X:9.594 Y:9.565 Z:9.354  
X:8.164 Y:8.109 Z:7.114  
X:6.321 Y:5.671 Z:4.546  
X:3.790 Y:3.095 Z:1.969  
X:1.091 Y:0.000 Z:-1.036  
X:-2.198 Y:-3.236 Z:-4.424  
X:-5.952 Y:-9.792 Z:-8.987  
X:-9.255 Y:-9.466 Z:-9.491  
X:-9.546 Y:-8.808 Z:-9.987  
X:-10.670 Y:-10.696 Z:-11.374  
X:-60.731 Y:-60.940 Z:76.136  
X:19.805 Y:19.802 Z:19.541  
X:19.183 Y:17.214 Z:16.621  
X:15.737 Y:15.416 Z:13.542  
X:13.386 Y:11.468 Z:10.756  
X:8.962 Y:7.856 Z:5.607  
X:3.995 Y:2.175 Z:0.000  
X:-2.193 Y:-4.201 Z:-8.188  
X:-11.847 Y:-13.671 Z:-15.308  
X:-15.945 Y:-16.133 Z:-17.372  
X:-16.817 Y:-19.001 Z:-19.323  
X:-20.979 Y:-22.171 Z:-21.647  
X:-23.738 Y:-26.242 Z:-118.328  
X:100.415 Y:31.190 Z:29.610  
X:28.305 Y:25.937 Z:25.630  
X:25.386 Y:24.441 Z:23.848  
X:22.308 Y:20.501 Z:17.112  
X:16.068 Y:13.394 Z:11.054  
X:8.761 Y:5.919 Z:2.815  
X:0.000 Y:-3.347 Z:-7.310  
X:-14.741 Y:-16.632 Z:-18.098  
X:-22.625 Y:-22.333 Z:-24.669  
X:-24.841 Y:-28.108 Z:-30.116  
X:-31.221 Y:-34.316 Z:-33.254  
X:-34.879 Y:-36.882 Z:-38.068  
X:-159.161 Y:118.060 Z:39.798  
X:37.418 Y:38.249 Z:40.122  
X:40.138 Y:41.050 Z:42.455  
X:39.482 Y:36.673 Z:34.312  
X:30.316 Y:26.342 Z:20.341  
X:16.247 Y:12.378 Z:8.081  
X:4.160 Y:0.000 Z:-4.487  
X:-13.656 Y:-17.228 Z:-21.645  
X:-25.653 Y:-26.541 Z:-29.278  
X:-33.428 Y:-36.392 Z:-38.894  
X:-41.114 Y:-44.181 Z:-47.635  
X:-47.638 Y:-48.361 Z:-50.173  
X:-47.074 Y:-225.897 Z:150.593  
X:48.798 Y:48.070 Z:53.141  
X:60.595 Y:66.470 Z:79.139  
X:107.638 Y:98.890 Z:84.709  
X:71.534 Y:57.857 Z:50.143  
X:41.542 Y:34.930 Z:25.371  
X:14.655 Y:7.982 Z:0.000  
X:-8.451 Y:-16.154 Z:-20.375  
X:-26.026 Y:-29.929 Z:-33.962  
X:-37.833 Y:-44.277 Z:-46.611  
X:-54.889 Y:-55.651 Z:-57.751  
X:-58.609 Y:-58.536 Z:-64.219  
X:-62.155 Y:-61.682 Z:-259.179  
X:174.699 Y:56.246 Z:61.246  
X:75.961 Y:89.135 Z:145.769  
X:127.672 Y:106.757 Z:90.100  
X:80.266 Y:72.151 Z:64.287  
X:54.618 Y:45.200 Z:35.830  
X:27.525 Y:20.866 Z:12.408  
X:0.000 Y:-10.615 Z:-21.392  
X:-24.531 Y:-31.378 Z:-36.661  
X:-46.729 Y:-61.288 Z:-59.209  
X:-65.490 Y:-69.455 Z:-72.078  
X:-81.104 Y:-79.184 Z:-84.024  
X:-85.053 Y:-78.886 Z:-80.733  
X:-314.132 Y:179.573 Z:66.716  
X:84.567 Y:107.837 Z:177.954  
X:147.161 Y:122.223 Z:111.149  
X:103.364 Y:95.424 Z:82.695  
X:73.323 Y:61.743 Z:51.436  
X:41.477 Y:30.610 Z:20.231  
X:10.482 Y:0.000 Z:-17.605  
X:-19.910 Y:-27.080 Z:-39.240  
X:-49.819 Y:-57.359 Z:-70.123  
X:-74.956 Y:-80.966 Z:-89.289  
X:-84.627 Y:-91.763 Z:-89.222  
X:-94.326 Y:-95.784 Z:-116.713  
X:-122.693 Y:-485.504 Z:203.611  
X:83.134 Y:107.106 Z:170.323  
X:181.085 Y:144.422 Z:134.336  
X:124.970 Y:118.806 Z:108.805  
X:93.277 Y:81.687 Z:68.135  
X:57.277 Y:45.753 Z:33.460  
X:22.788 Y:11.312 Z:0.000  
X:-11.669 Y:-24.113 Z:-35.319  
X:-46.265 Y:-55.601 Z:-65.948  
X:-74.236 Y:-84.405 Z:-93.038  
X:-101.627 Y:-113.299 Z:-105.296  
X:-109.142 Y:-123.206 Z:-132.985  
X:-144.392 Y:-140.151 Z:-504.681  
X:197.929 Y:100.179 Z:139.738  
X:219.036 Y:176.128 Z:159.158  
X:154.740 Y:152.490 Z:140.744  
X:122.809 Y:105.714 Z:92.377  
X:76.235 Y:63.612 Z:50.731  
X:37.100 Y:24.282 Z:12.730  
X:0.000 Y:-16.627 Z:-23.738  
X:-35.388 Y:-49.179 Z:-60.882  
X:-72.759 Y:-81.821 Z:-93.698  
X:-103.922 Y:-116.840 Z:-119.973  
